scene_id,xml_path,tif_path,remote_xml_uri,remote_tif_uri,min_lon,min_lat,max_lon,max_lat,center_lon,center_lat,imaging_time
LuoJia1-01_LR201806057936_20180603171247_HDR_0032,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171247_HDR_0032_meta.xml,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171247_HDR_0032_gec.tif,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171247_HDR_0032_meta.xml,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171247_HDR_0032_gec.tif,75.327995,27.389516,78.920864,30.352733,76.999892,28.780926,2018-6-3T17:12:34.24550
LuoJia1-01_LR201806057936_20180603171248_HDR_0033,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171248_HDR_0033_meta.xml,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171248_HDR_0033_gec.tif,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171248_HDR_0033_meta.xml,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171248_HDR_0033_gec.tif,75.314276,27.451363,78.90882,30.414665,76.987473,28.843362,2018-6-3T17:12:35.24647
LuoJia1-01_LR201806057936_20180603171251_HDR_0036,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171251_HDR_0036_meta.xml,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171251_HDR_0036_gec.tif,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171251_HDR_0036_meta.xml,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171251_HDR_0036_gec.tif,75.272397,27.634812,78.875396,30.598989,76.949645,29.027196,2018-6-3T17:12:38.24939
LuoJia1-01_LR201806057936_20180603171252_HDR_0037,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171252_HDR_0037_meta.xml,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171252_HDR_0037_gec.tif,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171252_HDR_0037_meta.xml,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171252_HDR_0037_gec.tif,75.256912,27.696489,78.864074,30.661673,76.935971,29.088199,2018-6-3T17:12:39.25036
LuoJia1-01_LR201806057936_20180603171253_HDR_0038,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171253_HDR_0038_meta.xml,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171253_HDR_0038_gec.tif,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171253_HDR_0038_meta.xml,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171253_HDR_0038_gec.tif,75.241033,27.757432,78.851068,30.723248,76.921102,29.149973,2018-6-3T17:12:40.25046
LuoJia1-01_LR201806057936_20180603171254_HDR_0039,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171254_HDR_0039_meta.xml,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171254_HDR_0039_gec.tif,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171254_HDR_0039_meta.xml,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171254_HDR_0039_gec.tif,75.225294,27.818476,78.837323,30.785016,76.906498,29.211237,2018-6-3T17:12:41.25180
LuoJia1-01_LR201806057936_20180603171254_HDR_0040,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171254_HDR_0040_meta.xml,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171254_HDR_0040_gec.tif,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171254_HDR_0040_meta.xml,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171254_HDR_0040_gec.tif,75.209111,27.878852,78.823884,30.845437,76.891893,29.272479,2018-6-3T17:12:42.25327
LuoJia1-01_LR201806057936_20180603171256_HDR_0041,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171256_HDR_0041_meta.xml,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171256_HDR_0041_gec.tif,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171256_HDR_0041_meta.xml,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171256_HDR_0041_gec.tif,75.19248,27.939094,78.809915,30.905763,76.876284,29.332286,2018-6-3T17:12:43.25425
LuoJia1-01_LR201806057936_20180603171257_HDR_0042,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171257_HDR_0042_meta.xml,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171257_HDR_0042_gec.tif,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171257_HDR_0042_meta.xml,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171257_HDR_0042_gec.tif,75.176488,27.999904,78.795323,30.966305,76.860796,29.393215,2018-6-3T17:12:44.25522
LuoJia1-01_LR201806057936_20180603171258_HDR_0043,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171258_HDR_0043_meta.xml,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171258_HDR_0043_gec.tif,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171258_HDR_0043_meta.xml,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171258_HDR_0043_gec.tif,75.161288,28.06082,78.781594,31.026423,76.846584,29.453933,2018-6-3T17:12:45.25619
